"Loan Number","Blank 1","Blank 2","Blank 3","Blank 4","Blank 5","Blank 6","Blank 7","Purchased","Investor Code","Investor Loan No"
"2591100161","","","","","","","","02/23/2012","FIRST MTG CORP","400673"
"2591100162","","","","","","","","02/23/2012","FIRST MTG CORP","400674"
"2601100121","","","","","","","","02/17/2012","FRANKLIN AMERICAN","1701452545"
"2601100154","","","","","","","","02/21/2012","GMAC BANK","603308112"
"2601100166","","","","","","","","02/27/2012","US BANK","6850361845"
"2601100169","","","","","","","","02/17/2012","AFFILIATED MTG CO","3000082081"
"2601200004","","","","","","","","02/16/2012","FLAGSTAR","503440285"
"2601200006","","","","","","","","02/17/2012","FLAGSTAR","503439610"
"2601200010","","","","","","","","02/23/2012","PENNYMAC","8000012659"
"2611100021","","","","","","","","02/14/2012","PENNYMAC","8000010555"
"2611100022","","","","","","","","02/06/2012","FLAGSTAR","503391249"
"2611100023","","","","","","","","02/07/2012","FLAGSTAR","503394753"
"3031100098","","","","","","","","02/17/2012","AFFILIATED MTG CO","3000080550"
"3031100105","","","","","","","","02/07/2012","FLAGSTAR","503426932"
"3031100107","","","","","","","","02/14/2012","AFFILIATED MTG CO","3000082486"
"3031100108","","","","","","","","02/01/2012","PENNYMAC","8000010480"
"3031100110","","","","","","","","02/22/2012","FLAGSTAR","503404435"
"3061100626","","","","","","","","02/02/2012","US BANK","6850366234"
"3061100949","","","","","","","","02/03/2012","PENNYMAC","8000010327"
"3071100117","","","","","","","","02/15/2012","US BANK","6850367556"
"3071100118","","","","","","","","02/13/2012","PENNYMAC","8000011012"
"3071200002","","","","","","","","02/17/2012","PENNYMAC","8000011467"
"3071200005","","","","","","","","02/27/2012","PENNYMAC","8000013086"
"3121100240","","","","","","","","02/06/2012","PENNYMAC","8000010843"
"3121100343","","","","","","","","02/09/2012","OHCS-SIUSLAW","0575550"
"3121100357","","","","","","","","02/01/2012","PENNYMAC","8000010149"
"3121100365","","","","","","","","02/23/2012","US BANK","6850373985"
"3121100367","","","","","","","","02/03/2012","FRANKLIN AMERICAN","1701444726"
"3121200002","","","","","","","","02/08/2012","GMAC BANK","603298345"
"3121200007","","","","","","","","02/13/2012","FRANKLIN AMERICAN","1701449359"
"3171100074","","","","","","","","02/02/2012","OHCS-SIUSLAW","0575320"
"3171100082","","","","","","","","02/07/2012","GMAC BANK","603303827"
"3171100084","","","","","","","","02/07/2012","FLAGSTAR","503414831"
"3171100085","","","","","","","","02/14/2012","US BANK","6850365544"
"3171100086","","","","","","","","02/16/2012","US BANK","6850359404"
"3171100087","","","","","","","","02/02/2012","US BANK","6850367451"
"3171100088","","","","","","","","02/15/2012","GMAC BANK","603307401"
"3171100090","","","","","","","","02/27/2012","PENNYMAC","8000013139"
"3171100093","","","","","","","","02/08/2012","US BANK RURAL","6850361252"
"3171100095","","","","","","","","02/21/2012","FLAGSTAR","503439093"
"3171100096","","","","","","","","02/01/2012","PENNYMAC","8000010459"
"3171200002","","","","","","","","02/21/2012","FLAGSTAR","503446140"
"3211100046","","","","","","","","02/09/2012","US BANK","6850365798"
"3211100076","","","","","","","","02/06/2012","FLAGSTAR","503413136"
"3211100077","","","","","","","","02/15/2012","US BANK","6850374158"
